City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kastamonu Province,0,TR,1583104574,87,41.5,33.67,271.76,1.12
Keffi,20,NG,1583104574,74,8.85,7.87,302.15,1.5
Longyearbyen,90,SJ,1583104575,77,78.22,15.64,256.15,4.1
Mana,41,GF,1583104575,85,5.66,-53.78,295.89,1.3
Khatanga,100,RU,1583104575,75,71.97,102.5,264.66,9.07
Nardaran,75,AZ,1583104575,75,40.56,50.01,280.15,15.4
Bluff,54,NZ,1583104575,76,-46.6,168.33,290.93,1.34
Thompson,90,CA,1583104403,79,55.74,-97.86,267.15,6.7
Busselton,11,AU,1583104575,39,-33.65,115.33,290.37,8.02
Puerto Colombia,0,CO,1583104575,69,10.99,-74.95,301.15,8.2
Broome,1,US,1583104575,47,42.25,-75.83,274.15,0.83
Bagdarin,92,RU,1583104576,86,54.43,113.6,254.96,2.73
Najrān,0,SA,1583104576,75,17.49,44.13,296.15,0.92
Severo-Kuril'sk,99,RU,1583104576,89,50.68,156.12,270.19,1.64
Jamestown,75,US,1583104576,47,42.1,-79.24,278.15,4.6
Provideniya,0,RU,1583104576,65,64.38,-173.3,259.15,5.56
Hobart,40,AU,1583104576,62,-42.88,147.33,285.93,7.2
Laas,90,IT,1583104576,100,46.62,10.7,278.15,2.9
Nikolskoye,38,RU,1583104576,93,59.7,30.79,276.15,3
Buraidah,0,SA,1583104576,44,26.33,43.98,288.15,4.6
Andenes,100,NO,1583104576,79,69.31,16.12,270.15,8.2
Vaini,20,TO,1583104576,79,-21.2,-175.2,302.15,4.6
Touros,75,BR,1583104577,94,-5.2,-35.46,298.15,1.5
George Town,20,MY,1583104577,88,5.41,100.34,300.15,2.1
Mataura,3,NZ,1583104577,76,-46.19,168.86,290.93,1.34
Quelimane,93,MZ,1583104577,71,-17.88,36.89,297.85,3.61
Saint-Philippe,75,RE,1583104577,83,-21.36,55.77,299.15,2.1
Rikitea,87,PF,1583104577,80,-23.12,-134.97,300.11,6.06
Athens,0,GR,1583104262,87,37.98,23.72,285.37,1.95
Ponta do Sol,40,PT,1583104577,77,32.67,-17.1,291.15,2.1
Anchorage,90,US,1583104325,92,61.22,-149.9,270.37,2.6
Kigali,100,RW,1583104514,100,-1.95,30.06,289.82,2.68
Bengkulu,38,ID,1583104578,91,-3.8,102.27,296.32,1.78
Hofn,100,IS,1583104578,71,64.25,-15.21,276.26,17.46
Renfrew,35,GB,1583104400,86,55.87,-4.39,277.15,7.2
San Policarpo,8,PH,1583104578,76,12.18,125.51,299.38,5.34
Tasiilaq,100,GL,1583104578,92,65.61,-37.64,267.15,0.5
Avarua,84,CK,1583104325,94,-21.21,-159.78,300.15,3.6
Vanavara,59,RU,1583104578,100,60.34,102.28,253.26,0.97
Biak,100,ID,1583104578,69,-0.91,122.88,302.15,1.76
Huron,1,US,1583104578,45,41.15,-82.55,282.15,8.7
Tuktoyaktuk,75,CA,1583104578,74,69.45,-133.04,243.15,4.1
Imbituba,20,BR,1583104578,83,-28.24,-48.67,297.15,3.6
