City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saskylakh,97,RU,1584232534,95,71.92,114.08,256.68,5
Rocha,84,UY,1584233262,83,-34.48,-54.33,292.14,3.56
Hobart,75,AU,1584232534,71,-42.88,147.33,290.37,5.1
Ichinohe,75,JP,1584233262,86,40.21,141.3,274.15,3.1
Hambantota,20,LK,1584232885,100,6.12,81.12,296.15,2.6
Vaini,75,TO,1584232668,83,-21.2,-175.2,302.15,7.2
Hong Kong,10,HK,1584232603,52,22.29,114.16,293.71,3.1
Río Bueno,0,CL,1584233262,66,-40.32,-72.97,284.68,2.73
Bambous Virieux,40,MU,1584232684,88,-20.34,57.76,298.15,1
San Patricio,75,MX,1584232514,78,19.22,-104.7,301.15,4.1
Bethel,1,US,1584233181,39,41.37,-73.41,283.15,3.1
Rikitea,0,PF,1584232677,78,-23.12,-134.97,298.85,5.42
Ixtapa,5,MX,1584232972,74,20.7,-105.2,299.15,4.6
Skjervøy,100,NO,1584233263,75,70.03,20.97,271.48,5.81
Carnarvon,75,AU,1584232581,74,-24.87,113.63,299.15,3.6
Constitución,43,CL,1584233263,82,-35.33,-72.42,285.63,2.71
Coruripe,0,BR,1584233263,77,-10.13,-36.18,300.55,5.22
Qaanaaq,0,GL,1584232645,58,77.48,-69.36,243.81,2.57
Challapata,17,BO,1584233263,56,-18.9,-66.77,286.76,4.32
Les Escoumins,100,CA,1584233263,80,48.11,-69.02,265.25,8.03
Punta Arenas,100,CL,1584232497,76,-53.15,-70.92,286.15,11.3
Trelew,0,AR,1584233264,57,-43.25,-65.31,287.16,3.77
Busselton,66,AU,1584233264,99,-33.65,115.33,293.15,1.34
Kapaa,1,US,1584232490,57,22.08,-159.32,300.15,7.2
Ushuaia,75,AR,1584232664,54,-54.8,-68.3,286.15,3.1
Nikolskoye,76,RU,1584232458,49,59.7,30.79,268.15,7
Lavrentiya,100,RU,1584233264,68,65.58,-171,267.26,3.57
Phek,79,IN,1584233264,95,25.67,94.5,285.28,0.29
Souillac,40,MU,1584232931,88,-20.52,57.52,298.15,1
Saint George,40,US,1584232949,51,37.1,-113.58,290.37,3.6
Comodoro Rivadavia,28,AR,1584233265,55,-45.87,-67.5,289.15,2.1
Filingué,0,NE,1584233265,13,14.35,3.32,297.73,4.68
Fairbanks,90,US,1584232637,67,64.84,-147.72,269.82,1.5
Los Llanos de Aridane,0,ES,1584232723,68,28.66,-17.92,291.15,6.7
Atuona,21,PF,1584232478,72,-9.8,-139.03,300.95,4.87
Lata,0,PT,1584232770,93,40.16,-8.33,285.37,2.6
Makkah al Mukarramah,0,SA,1584233265,49,21.43,39.83,291.37,1.34
Bredasdorp,83,ZA,1584232516,88,-34.53,20.04,292.15,3.1
Henties Bay,0,NA,1584232890,93,-22.12,14.28,289.26,2.14
Oranjestad,20,AW,1584233265,74,12.52,-70.03,300.15,6.2
Saint Paul Harbor,1,US,1584232694,55,57.79,-152.41,277.15,1.69
San Miguel de Tucumán,75,AR,1584232987,65,-26.82,-65.22,300.15,3.1
Saint-Philippe,59,RE,1584232702,78,-21.36,55.77,298.15,2.1
Bluff,100,NZ,1584232689,71,-46.6,168.33,290.93,1.79
Araouane,78,ML,1584233266,7,18.9,-3.53,299.11,3.94
Polson,90,US,1584233266,56,47.69,-114.16,267.04,10.3
New Norfolk,75,AU,1584232737,71,-42.78,147.06,290.37,5.1
Tornio,85,FI,1584233266,73,65.85,24.15,270.15,9.8
Hithadhoo,64,MV,1584232916,64,-0.6,73.08,301.39,1.55
Orán,100,AR,1584233266,77,-23.13,-64.33,297.31,1.49
Sola,75,VU,1584233266,75,-13.88,167.55,305.15,7.7
Poum,95,NC,1584232863,79,-20.23,164.02,302.21,22.17
Hofn,100,IS,1584232978,70,64.25,-15.21,272.71,9.05
Khatanga,100,RU,1584232480,86,71.97,102.5,269.86,4.32
Atar,0,MR,1584232815,12,20.52,-13.05,292.95,1.9
Yellowknife,90,CA,1584233048,60,62.46,-114.35,261.15,3.6
Arraial do Cabo,40,BR,1584232775,94,-22.97,-42.03,297.15,1.5
Port Alfred,63,ZA,1584233267,86,-33.59,26.89,293.15,2.68
Sioux Lookout,75,CA,1584233267,26,50.1,-91.92,267.15,1
Tessalit,49,ML,1584232655,12,20.2,1.01,296.87,5.3
Cape Town,40,ZA,1584232923,77,-33.93,18.42,292.04,7.7
Nakasongola,49,UG,1584233267,79,1.31,32.46,294.87,2.35
Vaitape,4,PF,1584233268,75,-16.52,-151.75,301.63,6.62
Bambanglipuro,3,ID,1584233268,85,-7.95,110.28,298.86,1.27
Mataura,100,NZ,1584233048,71,-46.19,168.86,290.93,1.34
Hermanus,63,ZA,1584232709,94,-34.42,19.23,290.93,0.89
Bairiki Village,20,KI,1584233268,70,1.33,172.98,304.15,4.1
Hilo,90,US,1584232452,74,19.73,-155.09,299.15,4.6
Maniitsoq,80,GL,1584233172,85,65.42,-52.9,255.63,3.94
Norman Wells,90,CA,1584232700,92,65.28,-126.83,266.15,1
Vanimo,100,PG,1584233268,89,-2.67,141.3,299.61,10.56
Nishihara,40,JP,1584233269,51,26.18,127.76,289.15,9.3
Marco,90,US,1584233269,83,25.97,-81.73,299.15,2.6
Tuktoyaktuk,75,CA,1584232486,79,69.45,-133.04,269.15,12.3
Vélingara,11,SN,1584233269,13,13.15,-14.12,301.81,3.54
Cabedelo,88,BR,1584233269,88,-6.98,-34.83,299.15,1.5
North Bend,90,US,1584233269,86,43.41,-124.22,279.26,5.1
Clyde River,1,CA,1584233008,74,70.47,-68.59,241.15,2.1
Marawi,5,PH,1584233269,75,8,124.29,300.37,1.79
Longyearbyen,90,SJ,1584232941,70,78.22,15.64,255.15,2.1
Terney,78,RU,1584233270,71,45.05,136.61,269.81,1.93
Ancud,39,CL,1584232957,71,-41.87,-73.82,285.15,3.1
Avarua,26,CK,1584232703,70,-21.21,-159.78,302.15,3.6
Mareeba,20,AU,1584232632,54,-17,145.43,303.15,5.1
Camocim,98,BR,1584233270,95,-2.9,-40.84,297.33,1.66
Kudahuvadhoo,89,MV,1584233270,63,2.67,72.89,302.35,2.97
Pangnirtung,93,CA,1584232576,99,66.15,-65.71,236.53,0.78
Hurricane,40,US,1584233270,51,37.18,-113.29,289.82,3.6
Kavaratti,1,IN,1584233270,73,10.57,72.64,300.86,4.7
Myszków,6,PL,1584233270,68,50.58,19.32,271.48,2.6
Cabo San Lucas,40,MX,1584233271,50,22.89,-109.91,297.15,5.1
Chui,43,UY,1584232768,92,-33.7,-53.46,295.3,2.22
Cayambe,75,EC,1584233271,87,0.05,-78.13,288.15,3.6
Jamestown,90,US,1584232774,86,42.1,-79.24,275.37,3.1
Aginskoye,0,RU,1584233271,83,51.1,114.53,262.6,2.1
Katherine,50,AU,1584232750,42,-14.47,132.27,303.15,2.6
Avera,1,US,1584233271,55,33.19,-82.53,297.15,2.1
Ribeira Grande,58,PT,1584232691,84,38.52,-28.7,286.46,3.2
Gondanglegi,71,ID,1584233008,87,-7.75,112.01,298.25,0.14
Isangel,75,VU,1584232772,74,-19.55,169.27,304.15,5.1
Zlobin,100,HR,1584233272,47,45.29,14.65,283.71,5.92
Aswān,0,EG,1584233272,53,24.09,32.91,289.68,4.33
Viranşehir,0,TR,1584233272,87,37.24,39.76,282.17,2.77
Petauke,100,ZM,1584233272,96,-14.24,31.33,293.2,0.48
Vammala,55,FI,1584233272,85,61.33,22.9,268.15,2.6
Touros,17,BR,1584232976,94,-5.2,-35.46,298.15,2.1
Half Moon Bay,75,US,1584232788,87,37.46,-122.43,285.15,3.1
Turbat,100,PK,1584233272,39,26,63.04,292.64,0.84
Dunedin,100,NZ,1584233093,80,-45.87,170.5,288.71,9.39
Ampanihy,99,MG,1584233273,72,-24.7,44.75,296.14,1.98
Mogadishu,81,SO,1584232980,84,2.04,45.34,301.06,7.87
Tiksi,0,RU,1584233273,78,71.69,128.87,247.46,3.42
Tasiilaq,0,GL,1584232819,70,65.61,-37.64,255.15,0.5
Fare,0,PF,1584233273,73,-16.7,-151.02,301.71,6.43
Upernavik,98,GL,1584232773,98,72.79,-56.15,247.54,1.61
Lompoc,90,US,1584233274,67,34.64,-120.46,288.15,3.1
Ilulissat,98,GL,1584232735,77,69.22,-51.1,256.15,2.6
